State,Date,Season,Temp_Max_C,Temp_Min_C,Humidity_pct,Rainfall_mm,WindSpeed_kmh,SolarRad_Wm2,Evapotranspiration
Andaman and Nicobar Islands,2019-08-21,Kharif,29.5,19.3,67.0,71.9,12.0,236.2,6.63
Assam,2019-09-07,Kharif,27.9,22.8,78.0,254.0,16.9,296.7,5.66
Jammu and Kashmir,2021-08-14,Kharif,26.5,20.5,47.1,77.4,15.4,168.3,6.36
Meghalaya,2021-03-12,Rabi,32.4,23.4,52.1,41.0,23.8,194.6,4.25
Andhra Pradesh,2020-03-02,Rabi,40.4,28.9,48.7,51.9,22.2,264.3,6.13
Chhattisgarh,2019-02-15,Rabi,36.6,28.7,47.2,74.2,15.9,223.6,5.02
Odisha,2020-08-28,Kharif,26.0,19.7,60.7,32.2,15.4,321.0,1.93
Telangana,2021-04-05,Zaid,32.0,25.4,59.9,8.8,24.2,312.6,5.45
Telangana,2021-02-26,Rabi,28.2,23.1,82.6,15.9,17.0,273.7,5.69
Delhi,2021-07-29,Kharif,28.4,20.7,53.6,62.1,3.7,137.3,3.99
Jharkhand,2019-08-19,Kharif,26.5,15.8,45.6,45.8,19.3,154.7,3.71
Uttarakhand,2022-05-08,Zaid,35.7,24.9,72.4,0.0,20.3,312.7,7.23
Andhra Pradesh,2019-01-12,Rabi,27.8,23.1,58.2,88.9,13.0,252.9,5.06
Madhya Pradesh,2021-05-21,Zaid,32.1,27.3,38.3,1.6,21.0,298.9,4.12
Andhra Pradesh,2022-04-05,Zaid,38.6,28.9,65.1,34.8,12.0,261.5,3.73
Assam,2019-11-06,Rabi,24.5,17.4,76.0,290.1,31.8,249.9,5.99
Uttar Pradesh,2020-03-23,Rabi,39.7,32.8,60.9,40.1,18.9,263.4,6.07
Delhi,2021-02-05,Rabi,33.5,22.6,51.2,0.0,20.7,169.4,4.16
Rajasthan,2022-12-04,Rabi,41.2,36.1,26.2,2.1,10.6,241.1,4.0
Andhra Pradesh,2021-07-21,Kharif,34.6,24.1,72.7,25.2,17.5,296.8,6.72
Assam,2022-06-06,Kharif,28.7,21.9,94.1,279.7,8.5,323.5,3.37
Bihar,2021-09-03,Kharif,30.7,25.9,64.1,29.9,25.8,280.4,5.11
Sikkim,2022-04-13,Zaid,35.5,26.9,69.7,37.7,25.6,239.3,4.57
Dadra and Nagar Haveli,2021-06-18,Kharif,22.5,12.4,75.9,4.7,9.8,236.7,4.88
Manipur,2020-12-10,Rabi,33.1,28.0,60.0,43.9,23.0,282.3,3.17
Uttarakhand,2021-06-10,Kharif,30.9,25.3,57.7,16.5,21.1,204.1,4.93
Jharkhand,2019-11-18,Rabi,21.1,16.8,47.1,59.2,24.4,296.2,5.77
Uttarakhand,2019-01-24,Rabi,32.1,24.9,61.8,26.2,19.9,306.2,3.54
Delhi,2022-12-29,Rabi,31.4,21.4,53.7,68.4,28.5,311.2,3.1
Mizoram,2020-08-14,Kharif,21.8,12.7,66.7,65.9,16.3,285.4,6.21
Karnataka,2020-02-21,Rabi,29.3,21.7,73.6,23.8,15.9,232.4,3.48
Manipur,2020-12-21,Rabi,25.3,18.5,72.5,19.3,8.2,216.7,5.94
Odisha,2022-11-07,Rabi,34.3,29.5,55.4,7.8,10.9,204.8,5.95
Sikkim,2021-05-14,Zaid,37.5,32.3,51.3,8.6,21.2,269.9,3.27
Gujarat,2022-05-23,Zaid,32.7,26.4,50.2,82.6,21.8,261.5,2.28
Bihar,2019-05-31,Zaid,31.7,26.4,56.3,35.1,9.7,261.4,5.85
Arunachal Pradesh,2020-11-12,Rabi,29.9,22.4,60.5,0.0,16.3,301.3,6.8
Telangana,2019-12-15,Rabi,31.0,20.5,60.6,0.0,31.8,204.2,4.57
Puducherry,2021-02-12,Rabi,38.5,28.2,49.0,30.1,15.1,185.4,3.85
Jharkhand,2022-05-29,Zaid,32.8,21.3,68.3,25.8,29.5,245.7,4.86
Daman and Diu,2021-04-13,Zaid,21.6,11.7,42.9,54.8,7.7,310.1,2.67
Tamil Nadu,2021-04-09,Zaid,41.1,31.8,58.8,37.3,11.0,229.2,5.42
Nagaland,2019-11-02,Rabi,11.6,1.3,48.8,18.9,20.6,214.5,4.99
Ladakh,2019-02-19,Rabi,35.7,28.1,71.9,16.7,13.9,250.1,5.24
Haryana,2021-04-04,Zaid,34.8,22.9,46.4,49.3,22.6,175.3,3.82
Nagaland,2022-05-17,Zaid,36.8,27.8,80.8,56.2,20.8,282.5,6.49
Karnataka,2019-05-01,Zaid,40.8,34.2,61.1,0.0,7.1,263.6,4.01
Uttar Pradesh,2020-08-24,Kharif,21.0,11.6,61.6,66.4,23.3,122.8,4.68
Rajasthan,2022-12-01,Rabi,35.7,27.2,24.5,10.4,24.2,266.1,4.03
Uttarakhand,2022-02-15,Rabi,39.7,33.4,59.8,67.0,18.5,291.0,3.26
Rajasthan,2021-02-01,Rabi,39.6,31.2,15.0,0.3,13.0,345.8,6.32
Puducherry,2022-07-02,Kharif,35.9,29.7,60.4,42.0,6.0,286.2,5.2
Karnataka,2019-06-13,Kharif,33.3,24.5,65.5,0.0,21.6,303.3,3.52
Jharkhand,2019-06-22,Kharif,23.3,14.1,47.8,8.9,28.2,240.4,4.86
Telangana,2022-01-30,Rabi,40.3,30.8,57.4,21.5,21.6,225.4,4.1
Arunachal Pradesh,2022-01-03,Rabi,30.1,25.8,49.3,36.0,19.9,218.4,4.5
Tamil Nadu,2020-08-18,Kharif,32.2,24.8,72.2,54.7,12.2,222.4,3.44
Delhi,2019-08-27,Kharif,18.0,7.8,68.9,58.0,19.9,208.3,4.3
Andaman and Nicobar Islands,2020-01-17,Rabi,24.7,15.8,50.4,58.1,24.3,289.7,3.95
Madhya Pradesh,2019-08-15,Kharif,29.8,19.6,45.7,61.2,12.3,312.3,4.5
West Bengal,2022-11-28,Rabi,25.0,16.1,66.4,15.1,9.5,310.6,6.66
Kerala,2021-05-17,Zaid,34.9,30.8,78.1,276.1,15.5,270.1,4.92
Karnataka,2020-11-09,Rabi,26.5,16.4,69.0,86.8,7.8,278.6,4.06
Andaman and Nicobar Islands,2021-06-08,Kharif,43.6,39.3,65.0,59.1,22.6,270.8,3.41
Dadra and Nagar Haveli,2021-12-24,Rabi,25.7,14.5,79.0,23.3,17.1,194.9,4.5
Manipur,2022-05-16,Zaid,41.1,30.8,53.6,65.3,16.6,280.0,3.21
Nagaland,2019-05-09,Zaid,30.6,23.6,66.2,24.1,17.1,270.0,2.65
Maharashtra,2022-11-06,Rabi,22.6,16.6,61.5,27.6,16.8,117.3,4.29
Mizoram,2021-01-25,Rabi,35.0,29.7,69.0,13.0,28.4,258.8,4.21
Chhattisgarh,2021-11-11,Rabi,27.3,22.0,50.7,0.0,15.8,241.8,5.75
Arunachal Pradesh,2019-03-15,Rabi,34.5,26.2,49.2,78.4,9.2,212.9,5.71
Lakshadweep,2021-10-21,Kharif,28.5,18.2,49.9,30.9,17.6,236.0,4.85
Jammu and Kashmir,2022-09-02,Kharif,11.1,6.3,46.3,58.8,21.3,253.4,4.8
Gujarat,2019-08-31,Kharif,16.5,6.6,60.1,0.0,6.7,302.0,4.54
Andhra Pradesh,2021-08-15,Kharif,27.9,16.6,47.9,16.6,19.0,220.2,3.19
Sikkim,2021-07-19,Kharif,29.4,22.2,74.8,53.9,28.9,284.1,3.23
Dadra and Nagar Haveli,2021-01-17,Rabi,27.9,17.0,72.2,0.0,25.8,187.4,5.72
Arunachal Pradesh,2022-07-24,Kharif,36.9,29.9,50.6,71.9,21.1,288.1,4.33
Daman and Diu,2019-10-10,Kharif,19.6,13.6,55.5,0.0,26.8,187.7,5.27
Rajasthan,2021-02-11,Rabi,38.9,33.4,29.4,0.3,15.3,187.5,2.02
Daman and Diu,2019-01-31,Rabi,37.1,29.1,57.5,55.5,23.4,220.2,4.03
Punjab,2022-08-19,Kharif,29.8,23.7,40.7,0.0,16.5,277.7,5.17
Chhattisgarh,2020-04-19,Zaid,40.1,34.1,64.4,71.8,19.0,319.2,4.11
Karnataka,2019-06-16,Kharif,30.0,24.5,58.0,70.4,9.4,262.9,4.4
Meghalaya,2021-12-12,Rabi,25.0,17.3,57.5,63.2,19.6,254.7,6.33
Andhra Pradesh,2020-01-05,Rabi,27.1,18.7,62.4,75.5,27.6,261.8,5.21
Ladakh,2022-09-11,Kharif,33.5,22.0,55.6,81.6,25.2,266.0,6.04
Bihar,2020-10-12,Kharif,24.6,20.3,66.1,39.5,19.5,212.4,1.7
Maharashtra,2021-11-24,Rabi,25.4,14.5,58.2,27.5,25.6,287.1,3.31
Delhi,2020-05-27,Zaid,31.4,25.4,68.4,11.1,20.8,266.2,5.2
Nagaland,2019-06-15,Kharif,31.7,22.2,62.8,0.0,8.1,223.7,2.41
Karnataka,2020-01-08,Rabi,23.4,18.0,63.3,49.4,21.4,228.2,3.72
Ladakh,2022-10-26,Kharif,16.2,7.6,72.4,0.0,19.8,341.6,6.14
Madhya Pradesh,2020-03-20,Rabi,36.0,24.4,59.0,0.0,17.8,277.1,5.2
Manipur,2020-06-30,Kharif,38.0,33.3,46.6,28.8,9.1,172.4,4.85
Jharkhand,2022-02-17,Rabi,30.1,18.9,66.0,32.8,6.5,306.7,4.28
Delhi,2021-09-26,Kharif,19.5,13.2,52.3,23.0,20.5,154.0,2.95
Gujarat,2019-04-22,Zaid,37.2,27.7,58.0,43.6,9.9,231.2,3.41
Jharkhand,2019-02-27,Rabi,33.8,22.1,52.9,122.9,28.9,299.2,4.4
Jammu and Kashmir,2020-08-09,Kharif,24.0,16.8,75.5,55.3,30.8,281.9,3.32
Himachal Pradesh,2021-12-06,Rabi,22.5,18.3,80.0,0.0,28.0,227.0,5.92
Himachal Pradesh,2019-04-28,Zaid,20.4,14.8,66.3,0.0,20.8,318.8,5.09
Maharashtra,2022-05-17,Zaid,36.3,30.6,56.1,3.6,26.3,214.4,5.25
Uttar Pradesh,2021-07-29,Kharif,19.6,12.0,59.7,74.7,17.7,296.7,4.99
West Bengal,2019-02-11,Rabi,22.3,17.7,60.8,26.7,20.5,144.3,5.02
Uttarakhand,2022-03-05,Rabi,39.6,31.0,60.2,0.0,18.9,212.9,5.45
Maharashtra,2019-05-11,Zaid,31.6,22.8,77.8,0.0,15.8,400.0,3.53
Himachal Pradesh,2020-04-08,Zaid,23.2,12.3,64.4,43.3,16.9,232.3,4.04
Manipur,2022-03-16,Rabi,33.7,25.5,58.0,40.6,12.2,307.3,3.92
Delhi,2022-01-22,Rabi,35.3,25.5,68.9,17.7,21.9,321.4,4.13
Goa,2020-08-09,Kharif,32.9,23.3,76.5,17.4,18.4,246.7,3.53
Maharashtra,2021-10-17,Kharif,22.8,17.3,65.6,39.7,29.1,214.3,4.18
Rajasthan,2021-02-15,Rabi,33.8,26.6,22.1,7.3,23.5,342.6,4.73
Mizoram,2021-11-03,Rabi,19.9,9.0,62.5,62.7,14.0,274.8,5.89
Maharashtra,2020-08-11,Kharif,33.9,26.5,30.1,13.3,19.1,231.4,4.57
Haryana,2019-06-08,Kharif,34.6,26.7,47.3,55.3,36.4,299.2,6.38
Mizoram,2020-09-07,Kharif,18.0,7.2,65.8,35.0,16.1,289.0,3.59
Lakshadweep,2022-06-21,Kharif,35.2,27.9,49.5,11.0,22.6,282.9,4.41
Chandigarh,2021-11-04,Rabi,19.9,13.7,69.3,93.0,25.6,288.2,2.87
Bihar,2022-07-05,Kharif,30.1,20.8,49.8,0.0,11.3,202.2,4.66
Assam,2020-01-25,Rabi,30.6,23.4,90.1,0.0,11.9,274.8,5.45
Haryana,2019-10-10,Kharif,26.4,15.1,74.1,58.3,29.7,272.0,3.02
Rajasthan,2020-07-15,Kharif,32.5,22.7,40.2,5.2,23.2,223.8,4.75
Telangana,2019-10-04,Kharif,13.4,2.9,52.9,40.7,23.7,114.2,3.6
Assam,2019-05-17,Zaid,23.6,15.3,72.4,448.1,18.7,229.3,2.99
Arunachal Pradesh,2020-03-21,Rabi,33.4,28.8,57.5,82.4,4.7,259.7,5.25
Andhra Pradesh,2019-06-15,Kharif,34.9,27.9,54.4,70.2,18.9,202.7,4.63
Meghalaya,2022-09-02,Kharif,22.0,10.2,52.2,6.7,9.9,293.9,4.11
Assam,2022-05-21,Zaid,34.0,25.1,75.0,198.0,7.9,298.3,4.01
Andhra Pradesh,2021-08-01,Kharif,31.0,25.2,63.9,66.9,16.1,283.7,3.88
Punjab,2021-12-20,Rabi,39.9,35.9,55.8,12.9,20.7,275.6,6.5
Ladakh,2020-03-04,Rabi,34.2,23.8,54.0,55.8,17.6,293.3,6.03
Daman and Diu,2019-12-06,Rabi,30.8,20.7,58.0,15.3,15.2,218.2,2.44
Mizoram,2022-01-13,Rabi,24.6,13.4,76.0,26.6,13.0,309.1,5.71
Gujarat,2021-02-14,Rabi,36.3,32.2,70.5,51.2,8.6,294.2,4.31
Karnataka,2020-10-19,Kharif,24.9,20.5,44.6,45.8,6.0,196.5,4.38
Madhya Pradesh,2020-10-20,Kharif,24.6,17.7,65.6,60.8,19.8,237.4,5.29
Himachal Pradesh,2019-08-14,Kharif,14.0,2.7,54.3,72.4,14.5,295.2,5.77
Arunachal Pradesh,2021-04-14,Zaid,29.2,23.2,63.3,32.8,12.1,259.4,5.39
Chhattisgarh,2021-08-21,Kharif,28.8,18.9,75.9,38.1,19.5,276.9,3.56
Jammu and Kashmir,2019-04-27,Zaid,43.1,31.6,45.0,74.3,8.9,203.9,5.67
Himachal Pradesh,2021-10-18,Kharif,18.1,8.3,47.3,44.9,34.1,263.9,3.32
Dadra and Nagar Haveli,2019-08-31,Kharif,30.2,23.7,45.3,69.0,22.1,281.4,5.28
Chandigarh,2022-05-19,Zaid,20.9,12.0,63.6,84.1,15.9,238.7,5.26
Andaman and Nicobar Islands,2022-01-19,Rabi,25.7,19.2,43.4,40.4,18.3,258.0,6.1
Odisha,2019-06-04,Kharif,32.4,23.4,54.0,0.0,12.1,328.3,6.25
Punjab,2022-07-10,Kharif,28.0,17.9,58.3,11.8,22.9,326.7,4.21
Jammu and Kashmir,2019-10-10,Kharif,22.2,10.7,52.8,36.2,16.8,278.5,5.71
Sikkim,2022-09-01,Kharif,18.3,10.1,59.6,0.0,15.8,244.7,3.68
Tripura,2019-04-20,Zaid,38.6,27.0,61.6,84.3,15.8,151.3,6.24
Himachal Pradesh,2019-11-23,Rabi,27.3,18.0,53.9,61.7,21.5,368.0,6.25
Kerala,2020-01-01,Rabi,30.6,20.7,62.5,222.2,19.6,300.6,4.61
Nagaland,2021-05-10,Zaid,35.8,24.4,56.3,48.2,17.4,133.6,6.82
Andhra Pradesh,2019-10-17,Kharif,18.6,11.8,55.9,35.6,24.3,244.1,6.09
Telangana,2021-02-17,Rabi,36.3,25.2,61.1,36.1,13.0,143.5,4.2
Jammu and Kashmir,2019-07-24,Kharif,30.7,23.3,61.1,48.7,18.9,293.2,5.1
Andaman and Nicobar Islands,2020-01-06,Rabi,27.2,20.8,54.0,21.7,21.2,205.1,6.08
Karnataka,2019-07-08,Kharif,24.2,14.4,47.8,80.7,26.6,238.9,4.33
Manipur,2021-03-05,Rabi,32.2,22.0,75.3,83.0,12.5,150.3,1.51
Gujarat,2019-03-04,Rabi,38.1,32.9,47.3,34.1,28.0,186.6,4.93
Delhi,2022-06-23,Kharif,31.2,20.3,58.0,43.7,14.2,277.0,3.21
Andaman and Nicobar Islands,2020-10-04,Kharif,26.9,15.4,71.6,63.8,8.2,261.6,3.17
Manipur,2019-07-07,Kharif,35.5,30.9,60.6,0.0,30.7,203.5,4.54
Bihar,2021-01-06,Rabi,35.0,29.1,60.1,50.4,24.5,249.4,2.9
Daman and Diu,2019-06-11,Kharif,32.5,22.5,63.3,46.1,14.0,281.4,4.14
Daman and Diu,2022-03-25,Rabi,34.1,23.2,66.6,82.4,12.5,275.2,4.4
Telangana,2022-07-12,Kharif,29.0,18.2,63.8,41.2,18.9,186.0,5.87
West Bengal,2020-12-08,Rabi,27.0,21.2,66.5,74.9,16.6,238.0,5.64
Himachal Pradesh,2019-12-31,Rabi,17.8,8.6,57.9,39.2,30.5,183.5,3.84
Nagaland,2022-10-28,Kharif,26.0,15.5,56.6,79.3,9.4,284.0,5.08
Rajasthan,2020-10-26,Kharif,35.6,27.8,34.2,13.6,14.6,140.1,3.02
Tripura,2020-06-13,Kharif,30.2,21.8,73.8,57.3,17.9,278.7,6.1
Tripura,2022-06-11,Kharif,28.2,22.3,63.0,27.9,28.8,262.0,5.06
Tamil Nadu,2022-01-12,Rabi,35.2,29.7,59.6,33.9,18.5,354.1,2.27
Jammu and Kashmir,2021-11-01,Rabi,22.1,13.4,63.4,0.0,7.8,264.0,4.46
Chandigarh,2020-04-21,Zaid,28.9,24.5,46.4,21.8,7.4,222.5,4.75
Tamil Nadu,2019-07-15,Kharif,30.5,20.2,95.0,3.0,13.8,177.7,6.86
Andaman and Nicobar Islands,2019-09-21,Kharif,31.1,24.3,48.2,83.6,19.8,237.6,5.41
Sikkim,2020-01-28,Rabi,25.4,16.6,55.2,0.0,12.4,262.8,3.48
Dadra and Nagar Haveli,2019-03-18,Rabi,23.6,19.5,70.7,21.3,15.3,266.3,6.0
Telangana,2022-09-23,Kharif,32.8,26.1,61.2,71.0,17.8,259.4,3.07
Punjab,2021-06-05,Kharif,34.2,24.9,64.3,5.8,19.6,261.6,2.87
Karnataka,2020-06-16,Kharif,29.3,21.0,53.8,66.0,25.0,279.6,4.49
Madhya Pradesh,2020-12-05,Rabi,26.3,19.1,61.1,110.3,18.2,348.8,4.46
Lakshadweep,2022-10-04,Kharif,21.4,13.2,51.6,60.7,13.2,223.3,4.68
Sikkim,2019-02-25,Rabi,39.6,28.8,57.4,40.8,21.9,309.0,5.58
Lakshadweep,2021-05-06,Zaid,27.9,19.4,42.3,37.8,5.4,250.8,5.94
Himachal Pradesh,2020-10-20,Kharif,11.4,3.8,57.6,5.3,24.5,275.0,4.95
Gujarat,2021-08-31,Kharif,23.5,16.5,42.2,54.8,17.6,265.7,5.62
Nagaland,2020-07-18,Kharif,27.8,19.4,64.3,16.4,13.5,209.6,4.65
Odisha,2022-11-15,Rabi,30.0,21.1,62.7,70.7,31.5,230.7,3.8
Maharashtra,2022-03-26,Rabi,33.3,24.5,80.3,24.5,13.9,241.6,4.19
Nagaland,2021-04-20,Zaid,32.8,28.2,56.5,114.1,18.2,172.6,5.92
Karnataka,2021-12-02,Rabi,31.7,25.1,68.0,62.3,14.0,261.3,3.44
Andaman and Nicobar Islands,2022-04-22,Zaid,36.0,27.4,67.6,60.2,16.7,194.4,1.67
Punjab,2021-09-23,Kharif,29.1,21.2,40.9,9.9,19.8,183.0,3.93
Sikkim,2020-09-02,Kharif,25.9,19.4,59.4,19.6,12.2,179.4,3.9
Lakshadweep,2021-08-25,Kharif,34.9,24.6,66.8,53.9,4.6,337.4,5.41
Arunachal Pradesh,2021-04-21,Zaid,25.9,14.3,63.6,21.1,26.0,235.1,5.75
Jharkhand,2020-10-09,Kharif,17.9,6.5,61.5,47.7,7.0,239.3,2.04
Maharashtra,2021-02-20,Rabi,35.4,26.0,40.8,7.2,25.5,284.0,2.85
Chhattisgarh,2019-08-30,Kharif,23.6,15.3,74.5,0.0,20.1,295.8,4.58
Madhya Pradesh,2021-12-19,Rabi,22.9,16.7,59.0,0.0,22.5,226.6,4.19
Odisha,2021-12-03,Rabi,32.6,27.3,51.9,20.3,7.3,237.9,3.16
Himachal Pradesh,2019-07-26,Kharif,20.6,13.0,48.3,76.7,14.6,190.4,5.38
Meghalaya,2021-03-26,Rabi,34.0,29.1,59.7,64.5,10.1,303.1,3.43
Andhra Pradesh,2022-02-01,Rabi,24.8,14.7,46.2,18.3,20.1,268.7,6.27
Sikkim,2021-09-24,Kharif,28.1,21.3,64.7,46.1,23.1,245.2,3.7
Tamil Nadu,2019-08-10,Kharif,24.4,13.7,69.9,80.6,12.3,315.4,7.04
Gujarat,2021-03-06,Rabi,31.2,23.9,63.3,44.1,20.3,304.3,4.92
Nagaland,2022-09-18,Kharif,26.4,16.5,54.0,26.7,15.2,245.1,3.36
Puducherry,2020-11-12,Rabi,24.9,13.7,50.6,42.3,16.7,240.1,6.18
Rajasthan,2022-04-22,Zaid,48.5,43.0,28.8,9.4,16.4,251.3,4.95
Karnataka,2022-01-31,Rabi,35.7,25.1,63.7,111.2,29.1,262.5,2.61
Jharkhand,2021-01-13,Rabi,32.4,28.0,59.6,61.5,14.0,280.8,6.31
Bihar,2019-05-29,Zaid,37.2,32.7,66.2,63.9,8.8,296.4,4.6
Gujarat,2021-03-22,Rabi,35.0,29.5,65.6,61.7,22.5,291.5,5.64
West Bengal,2021-07-02,Kharif,31.0,24.5,71.0,30.7,3.7,244.5,4.32
Gujarat,2020-04-20,Zaid,42.0,37.0,70.0,100.6,10.5,258.6,2.07
Madhya Pradesh,2022-02-04,Rabi,33.8,24.4,73.2,71.0,22.2,149.6,6.4
Jharkhand,2020-02-22,Rabi,32.7,22.2,63.5,64.0,9.7,239.3,5.14
Nagaland,2021-09-22,Kharif,22.7,16.8,60.7,0.0,17.6,190.1,4.81
Tamil Nadu,2022-06-28,Kharif,37.2,28.2,78.2,19.4,27.4,239.6,5.11
Bihar,2020-04-16,Zaid,37.8,26.0,65.3,48.1,19.7,222.6,5.06
Meghalaya,2022-06-30,Kharif,26.6,20.2,55.0,51.7,13.9,279.7,4.76
Assam,2022-03-19,Rabi,35.1,27.2,69.8,359.8,7.8,274.3,5.11
Telangana,2022-10-02,Kharif,33.7,23.7,74.3,63.7,8.6,264.1,4.82
Daman and Diu,2022-08-13,Kharif,31.5,24.3,63.3,0.0,38.0,172.2,5.94
Sikkim,2021-05-17,Zaid,48.4,41.5,54.7,25.1,19.7,218.4,3.38
Himachal Pradesh,2022-04-29,Zaid,25.6,16.5,56.7,75.0,13.2,262.4,3.26
Chhattisgarh,2020-02-10,Rabi,35.3,26.2,67.1,35.0,21.5,222.5,2.89
Bihar,2020-05-17,Zaid,35.2,25.0,69.9,33.3,14.9,232.8,4.53
Delhi,2022-04-28,Zaid,31.8,23.8,50.4,32.9,22.6,274.6,5.42
Arunachal Pradesh,2019-01-05,Rabi,33.1,24.9,63.3,10.1,25.1,162.7,5.37
Karnataka,2020-09-06,Kharif,25.2,19.8,53.7,55.6,19.8,347.2,6.05
Dadra and Nagar Haveli,2021-05-19,Zaid,35.8,24.9,47.8,39.3,15.6,252.1,5.51
Maharashtra,2022-05-19,Zaid,34.8,29.1,67.1,59.6,23.4,326.8,5.7
Jammu and Kashmir,2020-07-09,Kharif,23.8,15.3,90.3,32.7,19.7,324.0,4.74
Jammu and Kashmir,2019-07-15,Kharif,26.9,18.2,39.5,21.2,13.0,266.5,4.71
Sikkim,2020-02-09,Rabi,33.5,23.9,64.6,35.2,11.7,194.5,4.77
Kerala,2022-04-22,Zaid,32.0,25.8,68.3,15.2,15.0,275.3,1.24
Manipur,2021-09-21,Kharif,16.9,11.3,52.6,40.3,16.8,252.0,4.91
Himachal Pradesh,2022-09-21,Kharif,19.0,7.3,58.1,40.4,28.4,272.0,2.21
Bihar,2021-06-25,Kharif,29.7,24.1,78.7,24.0,11.0,274.4,4.89
Karnataka,2020-01-27,Rabi,33.0,24.0,43.5,62.2,11.2,162.3,5.18
Telangana,2019-08-10,Kharif,26.5,20.3,45.9,8.2,9.7,263.3,5.62
Gujarat,2022-02-03,Rabi,38.2,28.4,60.8,28.4,23.5,220.0,4.59
Ladakh,2020-11-21,Rabi,24.3,19.2,44.1,16.8,31.5,271.0,4.97
Haryana,2019-10-02,Kharif,28.8,21.9,56.8,0.0,29.6,194.2,4.21
Chhattisgarh,2019-02-08,Rabi,37.3,31.1,67.0,53.9,13.7,296.1,3.75
Mizoram,2022-01-27,Rabi,27.7,18.5,59.0,11.1,14.9,249.5,1.72
Karnataka,2021-06-28,Kharif,25.0,15.5,52.8,96.3,6.9,326.0,3.42
Delhi,2021-02-10,Rabi,28.5,20.3,57.2,49.1,16.0,318.4,5.72
Dadra and Nagar Haveli,2019-02-23,Rabi,45.4,38.9,67.4,106.6,17.2,210.3,5.35
Puducherry,2020-10-09,Kharif,24.3,18.4,52.1,0.0,15.6,263.4,3.05
Daman and Diu,2019-11-28,Rabi,37.6,32.9,62.4,93.0,21.9,293.4,6.51
Dadra and Nagar Haveli,2022-03-23,Rabi,41.6,32.6,43.8,34.0,27.3,241.3,4.67
Telangana,2020-11-27,Rabi,28.1,21.8,60.5,39.6,17.6,240.0,5.27
Madhya Pradesh,2021-09-09,Kharif,23.1,18.9,66.3,17.1,14.2,315.9,2.32
Andhra Pradesh,2022-03-04,Rabi,33.9,25.4,70.5,21.6,10.3,271.2,4.77
Mizoram,2020-02-11,Rabi,32.2,25.8,74.0,127.0,23.2,217.1,4.97
Chhattisgarh,2021-01-31,Rabi,32.3,24.0,62.4,103.9,20.9,331.1,5.21
Delhi,2019-06-01,Kharif,32.2,23.6,57.8,49.0,16.8,230.2,5.53
Gujarat,2019-04-30,Zaid,31.1,21.1,72.9,44.7,23.8,201.7,3.36
West Bengal,2019-02-07,Rabi,32.1,23.7,67.0,0.0,19.0,288.0,3.64
Kerala,2021-10-26,Kharif,24.2,16.1,84.3,147.4,26.0,244.6,4.62
Uttar Pradesh,2020-04-03,Zaid,36.7,28.1,63.5,89.9,0.0,266.4,3.18
Telangana,2022-04-12,Zaid,32.3,24.7,50.6,22.3,19.1,286.1,6.38
Himachal Pradesh,2020-02-17,Rabi,36.6,30.1,65.3,77.3,22.4,208.0,3.23
Lakshadweep,2020-07-08,Kharif,24.1,13.2,51.7,0.5,22.8,250.3,5.85
Delhi,2022-07-16,Kharif,21.2,13.5,60.3,42.3,26.8,248.2,3.45
Andaman and Nicobar Islands,2019-09-10,Kharif,32.0,27.9,63.3,82.3,9.4,291.2,4.03
Lakshadweep,2022-01-27,Rabi,26.8,17.8,57.6,0.0,16.4,287.1,4.31
Rajasthan,2019-07-03,Kharif,32.8,23.5,28.6,6.6,20.5,273.0,7.99
Andaman and Nicobar Islands,2020-09-06,Kharif,29.4,19.7,45.1,24.0,3.3,163.6,2.7
Delhi,2019-01-20,Rabi,32.1,28.0,60.1,27.0,8.3,250.3,3.87
Delhi,2019-08-25,Kharif,19.9,11.3,53.0,25.1,19.2,220.0,6.83
Punjab,2020-03-17,Rabi,34.5,27.6,54.1,23.9,25.4,284.3,3.57
Manipur,2021-09-08,Kharif,27.7,19.7,49.8,89.0,5.0,298.5,3.21
Rajasthan,2022-05-23,Zaid,41.1,32.0,50.5,2.0,14.2,339.6,4.77
Gujarat,2019-02-11,Rabi,34.2,28.7,50.9,49.8,16.6,266.3,5.88
Goa,2021-10-23,Kharif,20.6,12.0,62.1,7.6,17.8,334.2,3.85
Telangana,2019-02-02,Rabi,35.9,27.7,52.2,33.2,23.9,305.2,5.65
Andaman and Nicobar Islands,2021-10-23,Kharif,24.1,15.0,69.8,20.5,8.6,334.8,4.52
Uttar Pradesh,2019-10-02,Kharif,32.4,25.4,66.9,26.6,9.7,209.4,7.32
Rajasthan,2022-03-17,Rabi,38.1,30.7,41.5,10.7,25.4,211.6,4.34
Dadra and Nagar Haveli,2019-03-29,Rabi,41.4,35.7,74.0,0.0,21.0,183.0,6.13
Dadra and Nagar Haveli,2021-02-01,Rabi,35.9,24.1,44.9,74.1,16.1,237.4,5.01
West Bengal,2021-01-10,Rabi,29.7,20.5,70.2,130.2,12.0,259.2,4.58
Nagaland,2022-06-18,Kharif,30.0,18.7,61.4,62.1,29.0,251.4,3.35
Himachal Pradesh,2022-10-14,Kharif,12.0,3.8,59.9,57.3,23.7,233.2,5.74
Himachal Pradesh,2019-06-24,Kharif,20.5,12.7,71.3,36.7,16.5,264.5,3.3
Lakshadweep,2020-03-12,Rabi,35.6,24.3,45.2,99.8,23.2,262.2,4.04
