Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,SoilType,OrganicMatter,ElecConductivity,Zinc_ppm,Crop
80.17,34.95,43.21,23.78,81.21,7.114,219.4,Sandy,2.377,0.851,1.298,Rice
115.63,88.37,52.08,23.54,75.62,6.146,87.6,Black,2.984,0.546,1.861,Banana
24.04,128.61,210.57,20.2,90.19,5.53,121.6,Black,1.71,0.973,0.924,Apple
18.46,20.14,37.63,34.99,46.02,5.748,102.6,Clay,1.48,1.241,1.224,Mango
80.91,35.51,35.52,20.42,59.56,7.077,82.8,Sandy,2.406,1.655,1.127,Mustard
37.03,67.65,14.59,27.13,76.65,6.612,65.8,Black,2.893,0.496,0.702,Blackgram
11.97,46.77,95.23,26.26,50.9,6.392,54.5,Red,2.767,0.854,0.673,MothBeans
18.47,17.06,33.97,29.3,90.37,5.43,139.2,Laterite,3.156,1.027,0.781,Coconut
14.77,44.2,37.95,31.03,66.6,6.147,82.9,Laterite,1.792,0.343,2.137,Groundnut
10.12,40.22,42.22,24.81,66.36,6.572,104.9,Clay,3.351,0.814,0.632,Groundnut
121.98,63.26,86.39,19.58,77.48,5.486,137.8,Alluvial,2.306,0.569,1.212,Potato
85.34,40.1,32.91,24.35,76.85,5.817,165.6,Sandy,0.879,0.859,1.201,Jute
14.88,66.85,18.26,18.89,55.18,7.0,44.8,Sandy,1.202,1.147,1.372,Lentil
114.67,71.82,107.69,18.49,79.12,6.491,112.2,Alluvial,2.434,0.696,2.369,Potato
72.4,48.31,50.46,21.75,62.04,6.439,94.2,Red,2.226,0.622,1.327,Maize
24.49,50.93,79.45,23.79,52.65,6.805,47.7,Sandy,1.22,0.711,0.751,MothBeans
21.79,120.4,203.87,21.62,92.55,5.286,133.2,Loamy,1.946,0.865,2.372,Apple
79.54,44.51,26.72,24.84,84.02,6.236,237.7,Black,2.341,0.1,0.926,Rice
100.52,73.86,68.58,28.08,80.26,7.44,116.6,Black,1.498,0.496,0.89,Sugarcane
27.08,144.0,178.59,23.8,79.93,6.474,74.6,Laterite,1.55,0.769,0.847,Grapes
27.31,125.2,193.09,25.1,81.34,5.785,76.4,Black,2.24,0.582,1.348,Grapes
24.99,59.99,68.09,29.04,52.65,6.87,48.0,Red,1.501,0.67,1.043,MothBeans
143.44,70.5,97.27,17.43,86.74,5.704,141.4,Red,1.767,0.474,1.196,Potato
25.7,50.08,69.95,29.4,50.48,6.669,56.1,Sandy,3.004,0.374,1.341,MothBeans
21.79,50.42,41.71,32.9,65.29,6.701,95.5,Sandy,2.19,0.272,1.861,Groundnut
23.15,120.13,235.95,24.76,90.79,5.907,119.0,Loamy,1.501,0.782,1.119,Apple
89.86,60.07,81.13,25.44,81.04,7.298,122.4,Red,2.738,0.994,0.726,Sugarcane
17.1,64.84,87.04,22.88,49.15,5.675,52.8,Alluvial,2.817,0.599,1.289,KidneyBeans
99.21,57.37,40.98,20.8,60.5,6.603,127.2,Red,2.226,0.758,1.135,Wheat
19.2,69.69,88.98,25.8,44.28,6.282,79.0,Sandy,2.595,0.773,0.668,PigeonPeas
51.01,65.69,23.19,30.31,69.7,7.049,89.8,Laterite,1.899,0.51,0.721,Blackgram
84.27,61.81,86.24,22.29,66.61,6.067,96.5,Alluvial,1.932,1.185,1.064,Tomato
92.57,58.19,36.48,18.31,63.97,6.278,112.2,Sandy,1.307,0.643,1.828,Wheat
21.65,66.85,18.95,15.94,65.82,6.536,39.8,Red,2.856,1.345,1.771,Lentil
38.25,92.37,17.31,25.59,74.9,6.709,73.7,Red,3.584,1.185,1.433,Blackgram
126.57,46.81,34.73,22.14,77.13,7.053,61.8,Sandy,3.1,0.345,0.707,Cotton
76.53,40.35,41.79,18.16,67.83,6.845,74.2,Black,2.065,0.699,1.813,Mustard
41.94,69.95,48.79,26.76,59.88,7.443,98.8,Red,1.894,0.724,0.668,Soybean
16.05,64.57,12.28,14.96,51.58,7.454,47.8,Alluvial,3.269,1.093,1.325,Lentil
78.14,41.75,46.47,23.62,82.89,6.324,233.3,Red,3.344,0.759,0.714,Rice
25.08,23.8,30.42,29.89,47.12,6.364,100.4,Loamy,2.567,0.442,1.257,Mango
26.98,41.13,92.28,26.68,61.21,7.149,52.7,Laterite,1.704,1.381,0.353,MothBeans
114.62,53.08,142.41,27.25,77.8,6.553,182.8,Laterite,2.36,0.53,1.544,Turmeric
23.09,17.31,34.26,26.43,93.79,5.65,129.1,Alluvial,2.793,1.072,0.936,Coconut
125.07,42.86,41.97,25.52,75.07,7.634,73.6,Laterite,1.958,1.076,1.175,Cotton
81.1,62.11,91.86,23.61,67.52,6.787,88.8,Alluvial,1.807,0.711,0.839,Tomato
125.86,52.97,42.74,26.0,88.0,7.334,90.4,Black,1.113,0.793,1.473,Cotton
71.56,65.46,140.55,26.36,83.19,5.738,207.4,Alluvial,3.489,1.187,0.962,Turmeric
18.4,56.53,95.27,28.08,53.41,6.556,52.2,Laterite,1.936,0.687,1.145,MothBeans
28.76,16.29,23.81,25.17,97.5,5.584,170.0,Clay,2.545,0.831,1.473,Coconut
99.57,54.7,123.65,25.07,85.77,6.099,190.5,Loamy,2.652,0.673,1.827,Turmeric
38.11,59.9,21.35,22.42,69.95,6.222,64.8,Clay,2.682,0.1,1.357,Blackgram
18.26,125.27,188.72,23.59,93.51,5.307,116.9,Loamy,1.016,1.246,0.64,Apple
19.9,39.34,39.5,28.26,70.75,5.761,39.6,Red,0.652,0.742,1.283,MungBean
30.15,42.02,40.1,27.26,70.08,6.405,113.0,Alluvial,2.878,0.666,0.3,Groundnut
18.17,137.28,200.88,22.51,94.24,5.551,113.4,Sandy,3.434,0.117,1.324,Apple
99.17,44.6,23.49,16.02,63.44,7.141,87.5,Laterite,2.1,0.698,1.099,Mustard
120.1,87.13,40.7,24.75,75.29,6.357,116.2,Loamy,1.562,0.895,0.828,Banana
23.38,46.96,34.84,28.65,70.27,6.671,73.3,Black,1.917,0.962,1.24,Groundnut
81.98,33.78,41.55,23.66,84.69,6.07,243.5,Loamy,1.193,0.49,1.065,Rice
79.94,41.21,38.74,24.06,71.52,6.726,192.8,Sandy,1.542,0.821,1.502,Jute
14.27,61.49,13.7,15.95,62.34,7.237,47.8,Laterite,1.867,0.638,1.027,Lentil
21.1,76.09,18.02,15.5,60.12,7.211,54.9,Laterite,1.521,1.092,1.051,Lentil
66.66,37.18,40.85,22.73,53.6,7.095,72.5,Laterite,2.491,0.404,1.341,Mustard
81.08,36.78,87.14,24.33,76.75,6.601,86.6,Sandy,2.036,0.553,1.583,Onion
21.4,13.81,25.95,25.3,90.01,5.772,164.5,Black,2.408,0.573,1.371,Coconut
36.47,61.93,43.02,23.64,74.32,6.628,93.1,Sandy,0.979,0.1,0.863,Soybean
48.52,65.89,19.34,29.45,73.07,6.229,81.2,Sandy,2.601,0.703,0.483,Blackgram
40.13,75.17,15.98,28.14,67.97,6.52,82.9,Laterite,1.752,0.1,0.903,Blackgram
18.08,130.99,210.82,19.46,82.91,5.55,61.4,Black,1.983,0.61,0.902,Grapes
18.96,28.1,29.7,30.44,53.28,6.199,98.8,Sandy,2.89,0.624,1.736,Mango
78.81,49.89,37.35,18.05,66.36,6.884,163.5,Clay,2.009,1.197,1.003,Wheat
68.58,46.14,41.5,23.16,79.09,6.747,92.1,Clay,1.693,0.943,1.403,Sunflower
16.34,67.45,40.04,30.98,62.4,6.749,78.2,Alluvial,2.082,1.59,1.565,Groundnut
130.4,53.75,48.62,25.77,66.65,7.439,106.6,Laterite,2.166,1.115,1.417,Cotton
21.78,16.65,27.26,25.61,97.01,5.517,127.9,Loamy,3.901,0.388,0.762,Coconut
21.0,38.95,34.48,28.82,68.0,6.414,108.2,Loamy,3.217,0.503,1.452,Groundnut
92.46,61.64,35.36,14.34,71.41,6.133,111.7,Sandy,2.225,0.578,1.34,Wheat
24.66,36.72,41.22,28.97,63.89,6.668,88.9,Clay,1.864,0.246,0.699,Groundnut
22.64,64.46,41.07,22.7,64.5,6.877,105.3,Red,2.175,1.2,1.162,Groundnut
16.43,69.55,18.41,17.77,54.73,7.199,53.5,Sandy,2.276,0.718,1.629,Lentil
70.25,57.29,54.76,23.27,66.04,6.196,100.0,Clay,1.873,0.911,1.249,Maize
75.37,30.72,33.54,17.44,60.38,7.262,73.4,Sandy,2.119,0.434,1.2,Mustard
78.93,69.76,114.57,24.69,85.5,6.109,163.2,Black,2.035,1.072,0.769,Turmeric
54.5,42.89,45.65,23.75,67.42,6.295,78.2,Alluvial,1.64,0.382,1.179,Maize
14.26,16.13,31.44,26.14,94.51,5.822,156.0,Clay,1.819,0.439,1.424,Coconut
128.6,37.31,45.02,22.96,73.78,7.357,75.5,Red,2.42,0.361,1.107,Cotton
29.88,126.62,193.44,25.9,81.16,5.772,78.2,Black,1.778,0.537,1.056,Grapes
24.42,43.31,23.6,25.41,65.34,7.011,105.9,Loamy,1.011,0.65,1.373,Groundnut
19.07,40.96,45.82,28.41,62.86,6.781,34.2,Sandy,1.821,0.784,1.192,MungBean
14.74,67.08,76.66,20.82,57.2,6.128,87.5,Alluvial,2.224,0.674,0.802,KidneyBeans
106.09,84.17,50.57,24.37,76.56,6.047,111.5,Sandy,1.514,1.06,1.369,Banana
26.62,137.37,186.82,20.42,81.73,6.123,72.6,Red,2.494,1.045,1.872,Grapes
23.82,103.48,197.25,24.77,85.45,5.668,50.4,Loamy,2.856,0.309,1.571,Grapes
21.1,73.09,85.47,27.6,46.66,5.855,101.4,Laterite,1.264,0.748,0.984,PigeonPeas
19.61,144.79,193.94,23.65,82.61,5.337,77.0,Loamy,3.298,0.813,0.67,Grapes
100.12,50.86,40.63,25.85,77.43,7.167,72.0,Laterite,2.195,0.867,1.116,Cotton
21.55,62.22,18.47,20.43,60.12,6.904,37.8,Loamy,1.351,0.107,1.262,Lentil
18.08,130.69,221.3,26.19,82.59,5.607,88.2,Black,2.425,0.459,0.893,Grapes
78.39,47.15,115.76,26.35,85.1,6.097,171.6,Sandy,2.776,1.292,1.06,Turmeric
17.81,37.16,35.35,29.32,63.52,6.929,59.9,Clay,2.051,0.971,1.15,MungBean
96.15,66.16,77.17,24.72,78.28,7.258,145.8,Sandy,1.784,1.268,0.612,Sugarcane
76.33,41.89,37.54,23.88,80.25,6.635,223.6,Red,1.433,0.638,1.523,Rice
79.68,67.07,81.66,20.91,71.37,6.313,106.8,Clay,1.663,0.64,0.504,Tomato
73.21,48.58,39.91,19.69,59.44,6.697,77.2,Loamy,2.571,0.544,1.009,Mustard
43.32,61.36,86.22,17.65,57.63,7.059,63.3,Red,4.002,1.331,1.421,ChickPea
22.41,51.09,69.41,24.68,52.49,6.785,56.1,Sandy,2.781,0.369,1.163,MothBeans
106.0,44.81,99.0,26.86,82.95,6.328,147.6,Loamy,1.686,0.576,1.281,Ginger
76.79,46.38,96.06,23.29,72.14,6.617,58.8,Red,1.299,1.285,1.004,Onion
71.07,47.95,45.71,21.55,61.58,6.325,85.4,Sandy,1.356,1.058,1.161,Maize
23.66,62.83,89.42,21.69,61.35,6.646,89.4,Red,2.199,0.686,0.572,KidneyBeans
96.5,36.33,34.22,20.87,79.66,6.683,248.2,Alluvial,1.875,0.645,1.655,Rice
18.21,79.73,20.61,20.17,56.92,6.478,50.7,Loamy,2.811,1.387,1.385,Lentil
44.56,75.69,21.61,26.99,62.84,7.006,77.1,Red,1.782,0.786,1.622,Blackgram
18.84,24.36,33.69,26.29,41.51,5.592,112.9,Sandy,2.117,0.773,0.631,Mango
46.15,70.17,34.56,23.7,66.06,6.354,106.5,Alluvial,1.013,0.871,1.065,Soybean
98.05,46.59,45.09,23.29,88.4,7.017,98.0,Laterite,1.236,1.549,1.469,Cotton
86.35,47.16,84.25,17.36,74.79,6.224,80.3,Loamy,2.817,1.158,2.181,Tomato
16.53,74.5,11.25,21.47,56.21,6.512,45.1,Laterite,1.632,0.941,0.535,Lentil
75.64,57.39,34.45,24.73,71.99,7.042,57.8,Sandy,2.222,1.301,0.609,Sunflower
109.75,60.97,61.61,26.23,76.09,6.63,100.9,Loamy,1.943,0.816,1.677,Sugarcane
21.38,130.17,211.44,21.42,96.18,5.665,127.7,Clay,2.807,0.251,1.741,Apple
22.89,22.44,39.88,30.57,54.31,6.571,84.6,Laterite,2.098,0.739,0.914,Mango
44.17,71.29,75.37,19.55,55.03,6.823,67.5,Sandy,2.272,0.894,1.231,ChickPea
86.33,42.17,48.51,23.89,70.17,5.88,104.0,Red,2.037,0.153,1.377,Maize
74.86,74.15,68.81,25.46,65.48,6.76,64.6,Sandy,2.174,0.622,1.712,Tomato
92.11,31.3,34.64,21.91,83.87,6.41,230.6,Sandy,2.648,0.987,1.09,Rice
17.58,51.78,69.36,27.1,57.88,6.837,65.7,Loamy,1.395,0.422,1.32,MothBeans
21.06,83.04,66.26,27.55,48.28,6.241,107.7,Loamy,2.028,0.646,0.3,PigeonPeas
23.59,27.87,30.83,30.0,48.07,6.077,95.3,Red,3.141,0.626,1.791,Mango
23.21,21.36,36.12,34.97,47.62,5.884,84.8,Sandy,3.071,0.46,1.157,Mango
108.92,52.46,51.88,22.82,80.79,6.672,68.8,Loamy,2.375,1.063,0.848,Cotton
24.41,113.12,213.08,20.13,89.31,5.691,125.0,Alluvial,3.264,0.43,1.363,Apple
69.87,36.96,38.64,24.72,76.55,6.84,195.3,Clay,3.096,1.222,1.613,Jute
19.16,55.8,70.63,29.58,54.97,6.748,43.8,Red,2.09,1.032,0.824,MothBeans
89.12,89.0,54.93,25.11,74.31,5.857,108.2,Clay,2.31,0.891,0.3,Banana
17.0,21.04,33.0,27.01,92.82,5.729,152.3,Red,1.891,0.922,1.371,Coconut
95.79,68.12,75.08,26.68,80.83,7.1,133.8,Clay,2.991,0.653,1.141,Sugarcane
29.49,56.26,81.21,27.28,48.48,6.251,110.6,Loamy,2.399,1.048,1.242,PigeonPeas
17.72,56.58,67.44,28.46,51.12,5.826,107.9,Loamy,2.37,0.633,1.692,PigeonPeas
42.96,54.44,72.02,19.58,51.26,7.816,68.0,Sandy,2.851,0.728,0.716,ChickPea
31.6,76.31,75.17,21.81,58.83,7.271,85.6,Clay,1.732,1.528,2.072,ChickPea
49.91,58.95,68.08,20.11,62.76,7.482,59.3,Sandy,0.594,1.072,0.923,ChickPea
117.04,41.07,44.88,21.5,73.23,7.202,102.6,Laterite,1.716,0.964,1.347,Cotton
97.79,90.42,51.51,25.57,71.59,6.375,108.5,Red,2.214,0.301,1.012,Banana
86.63,35.28,49.91,24.29,81.68,6.321,235.2,Sandy,3.225,0.366,0.981,Rice
103.56,73.63,40.65,26.57,67.49,5.393,108.8,Black,1.671,1.429,1.358,Banana
75.37,42.12,42.98,21.93,81.81,6.297,251.7,Clay,2.264,0.774,0.775,Rice
86.8,63.89,111.79,24.56,81.79,6.656,173.6,Loamy,2.615,0.733,1.564,Turmeric
17.46,63.18,70.84,28.03,44.4,5.989,101.8,Loamy,1.581,0.197,1.688,PigeonPeas
97.58,77.93,46.97,26.75,73.45,5.886,105.2,Black,2.287,0.303,0.84,Banana
86.68,44.42,44.1,24.39,83.65,6.606,268.3,Clay,2.787,0.784,1.032,Rice
17.49,74.18,13.21,18.81,58.44,7.138,41.9,Laterite,2.144,0.37,0.877,Lentil
59.11,60.91,31.0,17.21,69.96,6.95,129.2,Red,3.092,0.94,1.63,Wheat
76.72,42.51,46.86,24.81,79.0,6.26,219.6,Sandy,2.165,0.71,1.225,Jute
80.63,36.43,40.14,16.81,62.49,7.135,93.5,Loamy,1.197,0.791,0.916,Mustard
77.93,39.87,37.62,25.17,81.58,6.549,162.4,Black,1.371,0.915,1.362,Jute
89.36,40.18,35.78,17.36,54.24,7.382,95.9,Sandy,2.42,0.883,1.341,Mustard
22.67,10.51,27.57,25.31,88.15,6.146,148.7,Laterite,1.972,0.572,1.352,Coconut
20.6,61.83,79.57,26.22,49.93,6.271,101.8,Laterite,2.245,0.974,1.769,PigeonPeas
77.82,46.78,49.5,20.42,59.19,6.217,111.1,Laterite,2.498,0.958,0.881,Maize
19.22,43.8,41.26,30.8,67.61,6.387,56.6,Black,2.299,0.68,1.16,MungBean
27.38,44.15,79.01,33.01,52.6,7.244,54.7,Black,2.796,1.174,1.365,MothBeans
22.86,62.45,20.94,15.07,57.61,6.834,55.4,Red,1.967,0.504,0.64,Lentil
19.88,71.44,61.75,22.24,61.24,6.026,67.1,Sandy,1.212,0.841,0.953,KidneyBeans
16.55,67.81,93.33,28.42,44.04,5.889,118.3,Red,1.828,0.564,0.87,PigeonPeas
18.76,54.04,67.4,30.99,44.54,7.232,44.0,Alluvial,1.669,0.766,1.515,MothBeans
93.02,34.67,35.69,21.26,87.45,6.366,238.2,Clay,1.599,0.692,1.142,Rice
115.54,47.33,54.53,23.96,80.16,6.937,90.1,Sandy,1.659,1.166,1.017,Cotton
106.02,90.79,52.63,27.42,73.78,6.132,83.5,Clay,2.317,1.051,1.204,Banana
44.41,60.96,21.32,31.41,62.46,6.732,79.0,Black,1.941,0.618,1.185,Blackgram
38.45,64.23,38.83,25.22,64.85,6.476,120.8,Laterite,2.939,0.957,0.865,Soybean
122.82,55.99,103.3,17.67,87.72,6.099,141.8,Sandy,2.867,0.408,1.299,Potato
17.21,140.82,194.42,22.0,91.27,5.593,102.5,Sandy,2.616,0.603,1.525,Apple
35.24,129.91,205.52,21.65,80.73,5.445,73.8,Alluvial,3.296,1.095,1.562,Grapes
40.87,54.4,14.03,33.54,59.74,6.51,74.3,Red,2.823,1.477,1.134,Blackgram
22.4,39.6,85.15,33.63,46.77,6.38,55.3,Red,2.575,0.276,1.205,MothBeans
79.8,40.15,30.23,22.11,82.77,6.637,210.3,Red,2.383,0.566,1.932,Rice
112.64,63.66,100.31,26.34,84.97,6.347,196.3,Laterite,2.26,0.574,0.3,Turmeric
116.65,62.49,93.31,18.01,82.09,6.131,95.2,Red,2.4,0.924,0.782,Potato
18.95,74.11,22.11,18.47,57.8,7.574,54.9,Sandy,2.189,1.006,1.475,Lentil
110.09,59.88,110.2,15.91,75.76,6.15,142.3,Black,2.729,0.613,1.236,Potato
16.25,135.35,175.36,26.1,85.32,5.351,73.9,Black,2.944,0.789,1.796,Grapes
34.24,52.71,39.07,25.84,70.69,6.379,100.2,Laterite,2.68,0.231,1.389,Soybean
20.06,23.67,24.8,33.38,52.83,6.632,97.5,Alluvial,2.654,0.607,1.629,Mango
21.34,131.86,206.4,24.71,84.15,5.887,61.8,Black,1.643,0.499,1.433,Grapes
24.98,136.21,195.28,27.88,80.44,5.8,61.8,Laterite,1.884,0.795,0.571,Grapes
18.16,68.21,97.67,24.97,44.86,6.171,83.4,Loamy,2.643,0.269,1.293,PigeonPeas
17.19,71.28,13.01,18.83,58.26,7.084,46.7,Alluvial,1.642,0.869,0.855,Lentil
87.97,51.93,54.59,16.51,70.74,6.682,117.9,Clay,2.029,1.133,1.026,Wheat
73.31,38.05,41.62,21.52,80.39,6.82,268.5,Laterite,2.213,0.582,1.119,Rice
71.64,63.77,85.93,20.55,79.18,6.249,85.3,Loamy,2.712,1.313,1.337,Tomato
20.99,64.53,77.47,22.29,61.96,5.511,85.7,Laterite,1.909,1.021,1.647,KidneyBeans
31.0,68.64,48.09,24.12,67.33,6.558,109.3,Loamy,1.864,0.756,1.249,Soybean
45.31,72.79,71.18,17.2,55.34,7.81,79.6,Clay,2.383,0.642,1.256,ChickPea
16.07,32.55,43.9,24.34,69.64,6.039,47.7,Red,2.044,0.549,1.517,MungBean
75.4,51.76,44.39,20.75,65.99,6.572,112.0,Alluvial,2.524,0.749,1.301,Maize
29.83,53.76,28.5,29.75,72.04,6.802,78.0,Loamy,3.362,1.385,0.507,Groundnut
18.55,86.89,87.1,22.88,52.28,5.575,80.5,Sandy,1.422,0.373,1.146,KidneyBeans
18.19,30.7,30.15,32.72,44.26,5.415,104.8,Sandy,2.912,1.201,1.776,Mango
16.4,55.07,74.63,31.68,41.9,5.9,91.9,Alluvial,2.886,0.648,1.7,PigeonPeas
18.3,63.38,13.15,18.93,58.4,7.164,41.3,Laterite,3.078,0.41,1.753,Lentil
16.95,65.97,75.17,27.11,45.88,5.841,72.9,Sandy,1.938,0.596,0.987,PigeonPeas
14.19,76.67,88.68,26.24,44.1,5.849,105.4,Loamy,2.523,0.868,1.485,PigeonPeas
85.57,29.95,42.86,19.2,63.45,7.292,80.6,Laterite,2.551,0.1,1.348,Mustard
26.36,59.22,77.1,18.42,63.91,6.061,56.1,Loamy,1.792,0.853,0.819,KidneyBeans
83.88,58.28,90.2,20.88,83.26,5.62,152.5,Laterite,2.489,1.019,1.058,Potato
22.94,28.49,29.77,30.81,47.35,6.11,126.8,Loamy,2.064,0.386,1.012,Mango
22.05,80.64,18.98,19.44,56.31,7.395,45.6,Clay,1.407,0.828,1.319,Lentil
77.6,39.09,31.06,17.58,57.43,7.752,78.9,Black,2.281,0.911,1.097,Mustard
71.26,44.15,50.17,15.88,58.88,7.476,93.7,Alluvial,1.494,0.571,0.861,Mustard
23.26,148.22,193.49,21.49,90.99,5.421,106.5,Laterite,3.22,0.752,0.85,Apple
15.21,81.94,20.28,18.86,59.7,6.553,50.8,Black,2.471,1.078,0.832,Lentil
19.19,142.69,192.57,20.14,92.55,5.84,112.8,Clay,3.307,0.734,1.015,Apple
36.89,67.88,76.0,19.69,54.83,7.419,73.9,Alluvial,1.222,1.013,0.3,ChickPea
18.51,133.95,212.95,21.36,87.99,5.225,108.2,Alluvial,3.176,0.886,0.806,Apple
140.78,48.58,59.48,26.2,84.1,7.157,63.3,Sandy,2.127,1.09,1.366,Cotton
37.35,75.43,20.35,29.11,69.75,6.083,90.5,Loamy,0.599,1.02,1.203,Blackgram
17.67,137.82,210.22,20.33,88.61,5.965,106.1,Red,2.082,1.278,1.571,Apple
22.25,31.36,27.24,29.01,50.58,6.724,112.7,Laterite,1.896,0.767,0.3,Mango
78.99,47.01,34.77,23.37,78.9,6.118,277.6,Red,2.876,0.696,1.679,Rice
22.4,121.98,207.9,21.1,83.39,5.936,74.2,Black,1.034,1.013,1.425,Grapes
15.3,71.37,68.52,27.64,47.89,6.183,91.3,Black,2.146,0.606,1.479,PigeonPeas
27.12,45.97,75.56,26.16,47.59,7.227,63.0,Laterite,2.498,0.505,1.24,MothBeans
23.54,16.01,26.95,28.4,95.85,5.653,144.6,Laterite,2.317,1.048,0.827,Coconut
29.26,44.13,37.53,30.37,72.7,6.393,87.4,Alluvial,1.18,0.72,1.851,Groundnut
33.82,71.59,89.53,21.52,51.14,7.364,86.5,Sandy,2.527,1.233,0.469,ChickPea
75.16,36.42,64.15,26.47,69.42,7.026,69.1,Clay,2.258,0.766,0.751,Onion
11.49,55.58,77.72,21.58,61.41,5.927,74.9,Sandy,1.174,0.629,1.132,KidneyBeans
17.07,43.14,68.82,25.59,53.86,7.099,48.3,Red,2.664,1.061,0.95,MothBeans
19.6,30.73,27.94,28.45,53.77,5.606,100.2,Loamy,2.34,1.262,0.848,Mango
24.48,35.61,42.97,29.66,63.28,6.28,36.8,Loamy,2.115,0.268,0.809,MungBean
21.66,119.45,226.22,25.56,85.93,5.74,102.7,Sandy,2.268,1.01,1.986,Apple
20.0,36.99,35.76,27.55,73.01,7.182,48.3,Laterite,2.113,0.774,0.398,MungBean
91.66,49.31,36.5,20.29,64.08,7.808,88.2,Laterite,2.058,0.795,1.261,Mustard
78.5,38.43,40.76,19.18,66.97,7.314,92.9,Black,1.314,0.516,1.957,Mustard
92.86,78.21,41.59,23.7,71.49,5.764,100.7,Laterite,2.8,1.036,1.138,Banana
40.61,79.76,76.2,17.13,54.89,7.278,69.6,Laterite,2.228,0.977,1.381,ChickPea
30.86,41.13,32.75,27.15,70.4,7.162,101.6,Black,1.457,1.057,0.996,Groundnut
39.0,62.06,34.35,25.51,64.31,6.84,106.9,Alluvial,2.317,0.861,1.363,Soybean
86.71,46.36,31.37,22.31,78.32,6.36,154.9,Black,2.629,0.674,1.948,Jute
91.26,59.27,109.11,26.85,80.82,6.006,175.1,Laterite,1.054,0.311,0.876,Turmeric
17.42,49.71,27.53,28.49,64.98,6.777,91.9,Clay,1.452,0.88,1.451,Groundnut
11.85,33.17,26.38,28.84,44.81,6.206,95.1,Alluvial,2.807,0.838,1.237,Mango
21.02,75.86,20.58,21.95,56.97,6.609,35.9,Loamy,2.917,0.828,1.891,Lentil
44.0,74.23,81.31,23.4,53.0,6.941,81.4,Sandy,1.89,1.221,1.501,ChickPea
25.26,20.57,31.23,27.76,91.03,5.787,163.1,Loamy,1.34,1.019,0.931,Coconut
16.78,38.65,38.82,28.08,69.22,6.665,33.3,Alluvial,1.774,0.218,0.824,MungBean
17.24,140.87,207.72,25.16,78.14,5.657,83.0,Red,1.366,1.361,1.19,Grapes
100.05,53.26,100.27,25.46,81.49,6.596,145.2,Alluvial,2.626,1.128,0.944,Ginger
21.74,133.76,170.81,21.79,93.98,5.567,114.2,Sandy,1.828,1.22,1.601,Apple
18.0,60.06,20.26,21.23,64.37,7.417,39.4,Loamy,2.589,0.467,0.549,Lentil
64.42,55.07,42.87,25.48,74.39,6.185,180.8,Laterite,3.414,0.693,1.431,Jute
79.72,32.09,34.0,18.49,63.04,7.622,86.2,Alluvial,1.748,0.926,0.832,Mustard
62.53,64.05,84.28,22.86,68.23,6.829,97.7,Sandy,2.325,0.575,1.331,Tomato
75.23,59.04,53.99,21.66,71.87,6.582,75.9,Red,2.256,0.642,0.736,Sunflower
22.18,16.75,19.92,26.05,94.28,5.947,129.4,Alluvial,0.919,1.026,1.111,Coconut
16.69,81.69,16.13,17.29,54.35,6.533,55.2,Alluvial,2.859,0.935,1.715,Lentil
96.07,60.58,50.73,23.26,73.35,5.968,109.5,Sandy,2.124,1.006,1.353,Banana
87.46,55.43,108.1,29.07,75.97,6.01,187.0,Laterite,2.081,0.428,0.3,Turmeric
75.24,41.18,77.2,21.29,69.85,6.997,77.6,Loamy,2.333,0.571,1.071,Onion
23.93,50.21,41.76,32.88,67.58,6.301,94.1,Sandy,2.122,1.064,1.328,Groundnut
19.59,132.95,212.77,29.46,78.51,5.899,77.7,Sandy,2.019,1.386,1.943,Grapes
63.82,57.64,73.22,22.55,69.51,6.471,72.2,Black,2.207,0.964,1.144,Tomato
94.58,84.13,59.44,26.57,78.21,6.183,109.1,Black,1.851,1.039,0.72,Banana
126.1,53.6,40.6,23.78,82.54,6.734,61.4,Clay,2.683,0.342,1.576,Cotton
41.44,61.58,37.56,21.58,70.92,6.717,103.3,Loamy,2.641,1.102,1.094,Soybean
21.53,13.75,25.03,24.11,90.68,5.872,174.9,Red,3.465,0.544,1.293,Coconut
26.4,62.0,72.68,18.55,52.95,6.082,72.7,Laterite,2.526,0.467,0.844,KidneyBeans
22.34,54.83,83.19,28.85,45.05,6.928,65.5,Black,0.649,0.832,1.824,MothBeans
19.58,68.45,72.09,21.76,62.49,6.679,80.5,Red,3.546,1.026,0.893,KidneyBeans
26.12,66.82,81.16,28.32,47.52,5.752,103.9,Laterite,3.13,1.309,1.6,PigeonPeas
14.84,138.25,190.35,28.65,89.13,5.586,127.4,Laterite,2.747,1.096,0.791,Apple
25.97,75.33,14.11,19.29,64.21,7.497,50.0,Clay,2.337,1.352,1.664,Lentil
72.44,42.99,84.93,25.19,69.76,7.199,67.6,Black,2.542,0.585,0.926,Onion
22.26,75.17,93.6,27.09,53.45,6.251,79.9,Alluvial,1.76,0.403,2.053,PigeonPeas
21.54,126.99,183.32,22.58,86.23,5.705,64.4,Clay,1.675,0.755,1.146,Grapes
25.05,117.72,171.96,21.19,93.15,5.654,133.3,Alluvial,1.931,0.685,1.255,Apple
67.47,38.05,68.15,20.08,67.75,6.062,89.8,Black,2.215,0.169,0.698,Onion
73.71,44.91,35.17,29.19,76.01,6.623,81.4,Sandy,1.65,1.216,0.742,Sunflower
