State,District,Year,Season,Crop,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Yield_kg_ha,Price_INR_q
Karnataka,Raichur,2022,Kharif,Cotton,100.49,44.61,56.48,24.17,86.88,5.82,897.38,347.1,5389.93
Uttar Pradesh,Kanpur,2021,Zaid,MungBean,17.64,40.34,32.68,33.84,58.65,6.87,810.59,833.7,7449.47
Kerala,Thrissur,2023,Annual,Banana,93.46,77.67,63.0,28.3182,80.5185,5.9634,2563.41,22749.2,1328.68
Chhattisgarh,Bilaspur,2019,Kharif,Rice,114.75,27.28,52.9,31.0356,67.0051,7.0975,1058.66,2734.4,1843.13
Haryana,Hisar,2022,Rabi,Sunflower,54.38,57.4,28.99,15.22,67.44,8.17,767.15,86.33,4978.95
Odisha,Rourkela,2023,Rabi,Tomato,70.95,66.44,67.58,30.8605,78.3704,5.9794,1389.33,24665.6,2748.45
Karnataka,Kalaburagi,2022,Kharif,Cotton,127.48,48.41,53.12,22.4597,77.0232,6.7681,876.9,361.0,6386.54
Sikkim,North Sikkim,2022,Kharif,Maize,74.39,50.82,67.94,22.2,68.98,4.76,1858.3,3385.4,1713.29
Daman & Diu,Daman,2021,Kharif,Rice,59.88,22.13,47.14,29.06,80.28,6.11,1429.71,4026.7,1929.14
Delhi,East Delhi,2019,Rabi,Mustard,110.06,39.3,49.71,30.0853,62.2184,7.3523,693.67,1643.2,5542.1
Nagaland,Kohima,2019,Rabi,Potato,129.71,53.32,72.91,17.8439,77.8422,6.0792,1985.0,22038.5,1030.2
Mizoram,Aizawl,2022,Kharif,Maize,88.58,44.79,48.29,21.24,88.07,5.37,1708.04,4577.81,2097.88
Uttar Pradesh,Saharanpur,2023,Zaid,MungBean,14.31,29.72,44.02,30.1077,45.6117,7.0275,782.67,821.2,8219.92
Arunachal Pradesh,Itanagar,2019,Rabi,Apple,17.79,97.64,279.0,13.84,69.54,5.18,2631.35,14149.51,5024.79
Uttar Pradesh,Bulandshahr,2021,Annual,Mango,26.87,23.04,46.91,24.93,64.48,7.21,704.95,6373.99,3012.39
Telangana,Karimnagar,2019,Kharif,Soybean,44.26,55.54,38.3,28.53,65.87,5.91,1005.91,1927.34,3334.31
Madhya Pradesh,Ujjain,2021,Rabi,Lentil,14.27,48.78,20.9,30.3184,62.4934,6.7167,1284.96,864.7,5347.55
Delhi,New Delhi,2022,Rabi,Wheat,95.63,39.52,41.8,23.47,49.81,7.7,445.73,6550.11,2360.56
Tripura,West Tripura,2020,Kharif,Ginger,71.69,36.27,114.42,24.65,79.68,6.32,1670.58,3977.2,5475.85
Kerala,Kochi,2021,Annual,Coconut,25.61,28.62,11.37,24.43,89.48,5.12,2896.83,5417.6,1360.94
Jharkhand,Jamshedpur,2020,Kharif,PigeonPeas,19.97,73.28,69.32,30.0397,67.6198,6.1389,1336.65,1347.6,6272.67
Mizoram,Champhai,2023,Kharif,Maize,83.67,44.11,25.96,26.96,78.35,5.44,3003.89,3525.9,2150.57
Chhattisgarh,Bilaspur,2023,Kharif,Groundnut,36.03,33.81,19.31,27.0404,68.1262,5.5518,1139.36,2037.8,5833.67
Uttar Pradesh,Jhansi,2021,Rabi,Wheat,94.63,52.21,49.89,28.1,70.12,7.7,889.19,2559.86,2114.11
Madhya Pradesh,Shivpuri,2022,Kharif,Soybean,33.75,38.64,38.19,33.79,44.96,7.34,1117.5,2329.92,3785.28
Chhattisgarh,Rajnandgaon,2019,Kharif,Rice,65.5,46.29,48.89,22.6238,79.4345,6.3078,1187.6,3013.8,2010.65
Assam,Barpeta,2020,Annual,Sugarcane,113.41,56.54,57.23,25.5352,78.6025,5.8361,1680.62,62251.0,303.12
Manipur,Thoubal,2019,Zaid,MungBean,9.66,31.52,29.86,19.88,77.93,5.45,1555.13,1072.0,7597.19
Uttarakhand,Almora,2022,Rabi,Mustard,60.45,33.95,34.27,9.94,75.92,6.5,1654.49,1930.51,5513.55
Maharashtra,Sangli,2022,Kharif,Cotton,125.77,55.61,58.81,32.28,64.64,5.75,955.82,353.7,6274.02
Chhattisgarh,Korba,2021,Rabi,Mustard,74.16,42.23,3.45,20.0464,70.6992,6.4706,1218.22,1933.0,4504.18
Rajasthan,Jaisalmer,2022,Kharif,Cotton,112.88,45.21,58.32,21.79,57.61,7.71,416.8,1569.57,5607.97
Chhattisgarh,Durg,2022,Rabi,Mustard,78.69,47.47,46.49,22.21,70.12,6.0,1269.24,1229.6,5879.17
Uttarakhand,Udham Singh Nagar,2020,Rabi,Tomato,94.11,78.71,49.41,13.75,81.57,6.99,1247.06,24007.5,2407.57
Karnataka,Belagavi,2020,Annual,Mango,31.48,26.42,24.81,31.33,69.76,6.23,812.67,7163.7,3100.85
Tamil Nadu,Thanjavur,2021,Annual,Mango,21.97,22.91,24.73,30.7147,84.8511,6.526,1029.13,7510.8,2789.82
Uttar Pradesh,Moradabad,2022,Annual,Sugarcane,92.18,71.64,56.57,23.99,59.43,7.58,764.69,74457.4,256.67
Gujarat,Gandhinagar,2022,Kharif,Rice,45.88,16.82,16.05,34.66,61.66,7.77,335.09,4448.5,1890.17
Gujarat,Surat,2019,Rabi,Mustard,66.25,42.22,32.19,32.04,58.36,6.56,703.91,1789.06,4979.95
West Bengal,Darjeeling,2023,Kharif,Jute,37.95,53.46,62.69,25.9113,72.7739,5.1912,1763.11,2465.3,4424.78
Meghalaya,East Khasi Hills,2022,Rabi,Potato,146.94,66.37,110.95,14.69,96.29,5.06,2420.95,22150.46,987.87
Assam,Tinsukia,2021,Rabi,Mustard,119.43,53.52,47.01,24.0447,81.3678,5.4604,1528.74,1411.7,5175.67
Chhattisgarh,Raipur,2019,Kharif,Groundnut,14.83,36.01,50.33,27.4681,56.7838,6.2296,845.68,1898.8,5563.43
Himachal Pradesh,Hamirpur,2020,Rabi,Potato,152.44,57.72,77.44,5.0,66.0579,6.6067,1301.94,24183.4,1071.85
Jammu & Kashmir,Pulwama,2021,Rabi,Potato,130.32,63.04,123.01,13.77,68.1,5.95,1237.67,20429.8,1080.85
Karnataka,Hubballi,2023,Annual,Coconut,20.33,21.51,23.8,25.93,62.18,7.1,1203.21,5709.6,1494.35
Karnataka,Kalaburagi,2021,Rabi,Sunflower,85.6,51.18,21.03,20.402,57.9331,6.6127,863.33,1208.9,6228.91
Telangana,Nalgonda,2023,Kharif,Groundnut,19.77,40.59,29.79,26.3657,64.37,6.6039,1016.32,1936.6,4517.07
Bihar,Rohtas,2021,Rabi,Onion,57.53,38.45,104.61,31.79,79.12,6.14,1168.07,19187.4,1963.68
Bihar,Patna,2020,Rabi,Wheat,100.16,41.21,43.45,26.12,65.16,6.64,911.52,2168.4,2166.53
Uttar Pradesh,Moradabad,2021,Kharif,Rice,95.13,28.73,31.74,30.6612,63.0609,7.684,918.09,3906.1,1843.48
Gujarat,Sabarkantha,2019,Kharif,Rice,68.99,45.54,38.78,32.6715,48.0651,7.0397,508.33,3675.0,1789.79
Punjab,Fazilka,2023,Rabi,Mustard,88.75,60.55,21.16,15.75,47.78,7.54,718.87,1792.6,5711.58
Ladakh,Leh,2022,Rabi,Wheat,63.39,68.93,25.5,10.92,18.77,6.65,8.62,4409.8,2127.54
Bihar,Nalanda,2021,Rabi,Potato,110.1,56.67,128.2,24.41,59.18,6.21,951.09,21121.37,1196.73
Karnataka,Davangere,2019,Kharif,Cotton,125.7,42.99,31.65,21.58,69.61,6.77,1224.94,1.0,6634.26
Madhya Pradesh,Satna,2019,Kharif,Maize,89.19,45.75,28.93,28.0,78.3,7.04,823.6,2541.9,1709.12
Meghalaya,Jaintia Hills,2023,Kharif,Ginger,111.71,55.35,120.52,18.14,73.57,6.06,1796.9,4733.7,5963.92
Haryana,Faridabad,2023,Rabi,Sunflower,90.88,43.09,35.3,22.68,54.9,8.35,416.89,1206.7,5458.54
Uttarakhand,Pauri Garhwal,2022,Kharif,Rice,92.78,39.51,41.94,23.61,86.13,5.79,1520.52,5477.13,2099.74
Uttar Pradesh,Azamgarh,2021,Kharif,Maize,87.54,52.21,51.4,23.48,98.25,7.64,598.24,2922.61,1724.81
Rajasthan,Jodhpur,2022,Zaid,MungBean,27.42,51.47,43.4,22.9792,42.7972,8.1809,274.17,730.5,8263.3
Madhya Pradesh,Rewa,2021,Annual,Sugarcane,124.39,56.31,90.41,22.53,64.2,7.26,952.55,77525.9,294.36
Telangana,Rangareddy,2021,Annual,Mango,28.4,28.66,17.43,29.1509,68.2899,5.9587,890.04,8293.7,3485.78
Jharkhand,Giridih,2019,Zaid,MungBean,17.7,42.06,44.36,30.25,68.12,6.31,1261.02,906.61,8835.67
Maharashtra,Solapur,2020,Annual,Banana,86.73,119.29,62.53,25.07,78.85,5.63,856.76,25268.8,1202.85
Uttarakhand,Haridwar,2022,Kharif,Maize,45.89,39.81,82.19,24.5878,51.4733,6.4727,1548.04,3696.8,1849.8
Uttarakhand,Udham Singh Nagar,2023,Rabi,Tomato,54.22,50.94,90.82,18.94,81.31,7.47,1418.72,17244.4,2200.29
Uttarakhand,Udham Singh Nagar,2019,Rabi,Tomato,67.37,76.64,61.11,12.62,81.83,5.43,1312.99,24055.52,2613.41
Manipur,Imphal East,2022,Kharif,Ginger,125.48,56.53,74.11,19.2758,79.1056,5.8362,1357.95,4030.7,5620.64
Gujarat,Anand,2023,Rabi,Wheat,84.3,46.44,46.19,27.71,68.92,7.31,843.48,4051.5,1976.89
Uttar Pradesh,Gorakhpur,2019,Zaid,MungBean,29.46,39.38,61.35,30.11,40.99,7.91,823.51,745.1,8279.28
Punjab,Sangrur,2019,Zaid,MungBean,18.39,60.87,41.65,24.8175,52.2483,7.4213,463.36,892.7,8046.29
Rajasthan,Tonk,2020,Rabi,Mustard,63.03,44.79,27.53,11.4385,88.4177,7.3049,452.0,1396.0,5479.65
Uttar Pradesh,Moradabad,2019,Annual,Sugarcane,72.89,80.9,70.45,22.1819,78.9499,7.0607,1097.2,54547.3,275.82
Puducherry,Mahe,2022,Kharif,Groundnut,20.35,57.9,28.61,34.25,87.33,6.94,1000.3,2457.8,6366.63
Gujarat,Kheda,2023,Kharif,Groundnut,7.75,36.81,45.42,27.52,37.08,7.83,788.7,2045.6,5639.12
Punjab,Amritsar,2020,Rabi,Mustard,62.65,24.2,15.22,18.12,74.39,7.74,677.35,1893.1,5148.76
Rajasthan,Barmer,2021,Kharif,Groundnut,42.9,57.95,35.29,28.5879,34.563,8.4679,173.61,1874.1,6314.93
Rajasthan,Tonk,2020,Kharif,Groundnut,23.38,48.36,51.78,27.853,70.8064,7.9097,283.6,2370.4,6068.38
Rajasthan,Bikaner,2019,Kharif,Cotton,140.79,37.99,57.15,29.35,24.92,7.45,290.89,1534.43,6220.45
Chhattisgarh,Rajnandgaon,2022,Rabi,Mustard,59.83,47.38,18.31,22.13,73.19,6.04,1157.7,1588.5,5321.68
Uttar Pradesh,Ghaziabad,2019,Rabi,Mustard,85.96,25.31,45.22,29.7874,52.8113,6.8686,823.87,1278.8,5932.04
Maharashtra,Yavatmal,2020,Rabi,Tomato,89.87,80.39,89.52,28.39,84.51,6.6,1121.96,22403.86,2659.37
Bihar,Nalanda,2019,Annual,Sugarcane,102.49,58.67,52.08,25.98,53.31,6.79,1075.74,76026.57,245.19
Himachal Pradesh,Una,2023,Rabi,Tomato,77.16,48.89,61.17,18.23,49.8,6.01,1543.26,23069.0,2348.04
Tamil Nadu,Trichy,2021,Annual,Sugarcane,78.29,77.6,97.04,27.5,67.66,7.04,1384.87,77151.33,235.5
Rajasthan,Sikar,2022,Kharif,MothBeans,4.94,45.04,77.58,27.41,45.99,7.61,366.51,724.2,3678.55
Telangana,Warangal,2022,Kharif,Rice,67.92,67.11,22.84,31.41,86.45,6.64,877.09,2328.3,1801.93
Odisha,Puri,2019,Kharif,Rice,60.66,7.09,56.1,32.5859,79.333,5.738,1656.4,3616.5,1870.75
Sikkim,South Sikkim,2023,Kharif,Rice,77.95,20.75,32.62,16.08,84.19,4.32,2824.27,4058.4,2197.66
Punjab,Gurdaspur,2022,Rabi,Mustard,48.77,34.24,37.21,26.01,48.16,6.86,892.29,1288.5,6217.95
Kerala,Kollam,2022,Kharif,Rice,91.58,35.81,36.58,25.5891,92.3028,5.8136,2817.5,3977.3,1943.87
Haryana,Panipat,2023,Rabi,Wheat,91.22,53.59,47.22,18.37,61.37,7.56,792.59,4243.8,1828.05
Uttar Pradesh,Firozabad,2019,Zaid,MungBean,14.76,49.1,37.69,18.45,54.5,7.73,1031.85,770.9,8070.24
Uttarakhand,Nainital,2021,Rabi,Potato,140.21,56.96,73.02,24.7,61.59,5.74,1742.78,19036.6,1122.59
Haryana,Hisar,2021,Annual,Sugarcane,102.11,63.85,46.69,29.5937,47.633,7.3843,550.01,55859.3,276.87
Himachal Pradesh,Solan,2020,Rabi,Wheat,117.43,47.99,48.5,6.0622,65.5925,7.1698,981.53,4988.6,1746.95
West Bengal,Bardhaman,2019,Annual,Sugarcane,114.74,49.48,73.62,22.44,93.65,4.8,1758.85,89954.4,291.99
Arunachal Pradesh,Papum Pare,2019,Rabi,Apple,21.87,84.27,160.84,16.9635,89.7061,5.05,2203.45,12903.3,5018.41
Punjab,Hoshiarpur,2023,Rabi,Mustard,84.59,38.65,47.33,17.4284,53.0684,7.6181,963.57,1449.9,5904.76
Tamil Nadu,Ramanathapuram,2022,Kharif,Rice,61.09,55.84,29.25,25.03,69.83,6.9,935.43,2054.9,1917.09
West Bengal,South 24 Parganas,2023,Rabi,Potato,113.18,51.42,101.56,30.04,87.77,5.27,1952.9,21812.13,757.29
West Bengal,Darjeeling,2021,Rabi,Potato,119.63,62.87,130.9,27.69,79.23,7.23,1869.58,22737.8,986.87
Rajasthan,Jaipur,2022,Kharif,Groundnut,36.45,59.69,24.5,20.8294,41.6297,8.3971,581.09,2293.3,5895.08
Andhra Pradesh,Krishna,2023,Rabi,Tomato,102.05,78.91,78.48,27.47,78.72,6.71,717.31,15042.7,2760.05
Karnataka,Chamarajanagar,2021,Annual,Mango,14.68,31.24,17.16,28.91,74.73,6.47,866.11,7534.68,2687.82
Tripura,West Tripura,2022,Kharif,Turmeric,109.68,57.88,140.33,19.81,79.84,5.47,2140.77,4992.5,7558.83
Uttarakhand,Udham Singh Nagar,2021,Rabi,Tomato,68.17,74.84,60.82,12.5623,82.039,5.3865,1256.09,23670.0,2598.79
Rajasthan,Jaipur,2021,Zaid,MungBean,23.26,28.0,43.38,24.0,44.43,7.3,164.04,1080.4,7376.35
Gujarat,Amreli,2023,Kharif,Cotton,173.91,48.36,39.77,21.7,49.31,9.1,708.25,311.3,6160.24
Gujarat,Gandhinagar,2023,Kharif,Cotton,114.14,49.61,38.61,22.96,68.64,6.68,469.58,1.0,6567.52
Nagaland,Wokha,2019,Kharif,Ginger,129.13,57.64,116.2,18.49,74.2,5.82,1855.71,4334.0,5666.54
Uttar Pradesh,Kanpur,2020,Rabi,Lentil,26.62,37.9,14.28,21.14,57.69,6.8,1126.27,1025.2,4559.49
Karnataka,Belagavi,2021,Annual,Mango,43.93,26.34,24.88,23.23,75.35,6.62,978.93,7381.1,3364.38
Tamil Nadu,Thanjavur,2021,Annual,Banana,116.32,56.04,24.42,27.11,69.99,7.14,877.03,24818.37,1234.23
Bihar,Muzaffarpur,2023,Rabi,Potato,108.27,51.82,72.88,15.36,90.68,7.32,1146.15,15823.7,1035.51
Manipur,Imphal West,2022,Kharif,Ginger,139.94,43.85,100.16,9.43,66.23,6.04,1606.38,4701.5,5927.73
Punjab,Bathinda,2020,Annual,Sugarcane,124.77,68.21,65.37,24.82,61.07,8.5,898.3,63084.7,318.19
Tamil Nadu,Erode,2022,Kharif,Cotton,115.23,39.87,43.18,27.3228,79.2249,6.6011,1380.46,407.1,6150.13
Chhattisgarh,Korba,2021,Kharif,Soybean,31.5,53.57,47.45,26.92,46.12,5.33,1256.65,1732.1,3882.31
Maharashtra,Pune,2022,Annual,Sugarcane,100.16,51.16,61.23,26.8007,55.4207,5.7927,1371.15,58245.2,285.01
West Bengal,Birbhum,2019,Annual,Sugarcane,111.46,72.0,74.78,23.61,71.98,5.61,1401.6,55514.5,273.13
Odisha,Kendrapara,2021,Kharif,Groundnut,17.02,47.84,25.1,27.21,92.13,5.43,1613.03,1852.2,5602.52
Andhra Pradesh,Anantapur,2022,Kharif,Groundnut,27.9,63.12,47.01,24.78,58.84,6.34,1239.87,3031.62,5745.24
Gujarat,Vadodara,2023,Rabi,Potato,81.25,82.12,130.41,32.13,73.36,7.31,515.02,18158.6,869.65
West Bengal,Cooch Behar,2019,Annual,Sugarcane,91.86,60.35,65.15,22.3844,87.7215,5.7529,1540.33,73370.1,282.78
Assam,Tinsukia,2023,Rabi,Mustard,114.97,26.84,52.13,20.51,85.12,5.77,1838.29,2308.1,5937.0
Maharashtra,Satara,2022,Rabi,Wheat,96.13,43.34,43.51,12.6,61.89,6.75,992.14,2965.8,2061.6
Jharkhand,Jamshedpur,2019,Zaid,MungBean,28.11,32.58,29.04,25.6245,69.2719,6.0913,847.93,1192.6,8409.07
Odisha,Bhadrak,2022,Kharif,Maize,77.23,50.55,54.15,32.65,75.74,6.73,1710.85,3507.4,2113.17
Odisha,Koraput,2022,Kharif,Turmeric,134.27,71.73,157.74,35.0782,72.7504,6.4309,1607.35,3753.3,6693.09
Kerala,Kollam,2021,Kharif,Turmeric,122.71,61.42,79.89,31.0639,78.9428,6.0312,3190.14,3284.2,6329.04
Bihar,Sitamarhi,2023,Rabi,Mustard,86.48,49.61,40.03,20.0673,57.0345,7.2918,945.25,1440.5,4397.63
Jammu & Kashmir,Poonch,2023,Rabi,Lentil,9.7,73.21,17.61,22.57,81.01,6.5,1184.22,2404.29,5799.6
Madhya Pradesh,Raisen,2022,Kharif,Cotton,115.15,55.78,79.13,27.1945,46.3148,7.0765,870.05,434.1,6164.69
Jharkhand,Jamshedpur,2021,Kharif,PigeonPeas,20.13,92.5,80.23,20.41,62.94,5.8,1102.99,1314.5,6549.69
Tamil Nadu,Dindigul,2023,Annual,Mango,12.96,30.05,29.4,25.04,75.95,6.54,1221.5,7363.46,2731.9
Bihar,Muzaffarpur,2019,Rabi,Potato,155.56,56.19,110.87,28.86,70.07,6.48,808.02,19698.3,1033.79
Maharashtra,Latur,2021,Kharif,Rice,87.92,39.97,34.66,26.58,63.98,6.53,964.95,3145.6,1880.83
Uttarakhand,Tehri Garhwal,2021,Rabi,Potato,137.87,29.4,142.04,22.39,62.32,6.16,1573.01,18387.1,1109.65
Nagaland,Dimapur,2020,Rabi,Potato,160.63,73.92,92.44,25.0,87.11,5.82,1851.65,24057.44,1047.99
Andhra Pradesh,Chittoor,2022,Annual,Mango,20.81,31.76,20.85,29.56,75.53,6.15,1161.75,6991.85,2798.38
Karnataka,Shivamogga,2022,Annual,Banana,78.68,113.47,57.73,23.0,68.09,6.47,1100.64,28846.7,1226.61
Uttarakhand,Udham Singh Nagar,2020,Rabi,Lentil,2.23,75.6,9.81,27.32,62.22,5.93,1631.68,1.0,5705.25
Rajasthan,Barmer,2019,Rabi,Mustard,71.55,64.94,31.28,38.5748,40.3663,7.337,184.96,1504.7,6274.72
Uttarakhand,Dehradun,2019,Rabi,Mustard,94.43,31.24,5.98,13.93,51.25,6.44,1757.81,1993.44,4936.48
Nagaland,Mokokchung,2020,Kharif,Ginger,93.27,50.99,84.09,14.97,86.69,5.2,1627.62,4582.9,5541.34
Tamil Nadu,Vellore,2021,Kharif,Cotton,107.49,40.96,69.3,28.9217,84.4952,6.2265,921.06,428.6,6724.52
Gujarat,Mehsana,2023,Rabi,Wheat,119.44,46.61,45.38,20.3918,63.3528,7.2546,726.43,3436.1,1982.76
Gujarat,Sabarkantha,2023,Rabi,Wheat,107.37,75.11,24.81,24.0978,57.2098,7.4926,649.04,3784.7,1865.61
Punjab,Ferozepur,2023,Rabi,Mustard,73.66,34.77,28.99,19.48,46.14,7.08,852.95,1831.3,5159.29
Gujarat,Sabarkantha,2023,Annual,Sugarcane,74.19,56.95,56.65,24.1197,88.5736,7.3056,827.7,80258.7,255.16
West Bengal,South 24 Parganas,2021,Rabi,Potato,124.64,73.46,91.81,20.7882,77.2572,5.1692,1408.12,20715.5,974.59
Kerala,Palakkad,2022,Annual,Banana,95.65,69.17,43.42,29.29,86.52,6.42,3238.18,24043.7,1119.73
Haryana,Gurugram,2019,Kharif,Rice,81.16,45.36,33.48,24.83,40.36,7.51,620.51,4379.37,1319.95
Odisha,Cuttack,2021,Kharif,Maize,91.51,48.91,39.09,36.82,68.79,5.49,1778.43,2255.9,2029.72
West Bengal,Midnapore,2020,Annual,Sugarcane,94.33,61.22,50.4,21.6509,59.7525,5.8592,1545.31,59381.3,248.58
West Bengal,Midnapore,2022,Rabi,Potato,145.48,44.34,109.27,26.4429,88.1206,5.9591,1243.77,15275.2,1106.83
Bihar,Saran,2019,Annual,Sugarcane,86.34,52.26,74.87,23.8,62.75,6.61,899.36,59150.0,315.39
Delhi,South Delhi,2022,Kharif,Rice,86.08,27.85,29.36,37.71,72.47,6.51,695.01,2242.4,1588.9
West Bengal,Birbhum,2019,Annual,Mango,13.54,29.59,29.74,24.06,97.73,5.58,1997.39,5893.0,2629.29
Tamil Nadu,Salem,2021,Kharif,Rice,88.17,44.16,15.94,23.8512,77.1925,5.8572,1004.07,2711.7,2073.87
Himachal Pradesh,Kullu,2021,Rabi,Apple,30.39,158.52,189.47,5.0196,56.492,6.4171,1677.15,12571.2,5620.71
Haryana,Rohtak,2020,Rabi,Sunflower,82.75,33.69,53.85,23.5,50.8,7.08,486.8,1397.6,4841.08
Haryana,Bhiwani,2022,Kharif,Cotton,108.87,37.44,46.2,20.18,70.74,7.93,640.9,577.9,6081.58
Uttar Pradesh,Varanasi,2022,Kharif,Rice,71.16,40.27,28.51,24.79,73.29,6.86,512.46,4370.1,1972.45
Punjab,Hoshiarpur,2022,Zaid,MungBean,24.82,39.97,28.87,19.74,75.44,7.3,667.67,1.0,7895.88
Uttar Pradesh,Azamgarh,2023,Kharif,PigeonPeas,32.61,76.37,101.98,26.49,51.03,6.34,754.64,1086.7,6361.08
Rajasthan,Udaipur,2020,Kharif,Cotton,89.52,38.15,55.36,26.4567,34.2839,7.637,302.41,537.9,6467.77
Madhya Pradesh,Jabalpur,2019,Kharif,Maize,93.07,85.77,50.99,27.38,43.84,7.42,889.97,1756.29,2205.94
Rajasthan,Chittorgarh,2023,Rabi,Wheat,38.62,59.57,38.22,29.33,65.03,7.95,214.09,3369.38,2097.51
Sikkim,East Sikkim,2019,Kharif,Rice,89.56,49.04,40.68,8.71,71.9,4.43,2072.41,3203.9,1724.31
Karnataka,Davangere,2022,Rabi,Sunflower,94.92,53.4,52.09,24.5382,66.2527,6.4405,888.82,1577.3,5373.54
Nagaland,Mokokchung,2022,Kharif,Ginger,77.65,47.77,64.88,17.08,84.34,5.77,1689.5,4387.9,6066.89
Odisha,Sambalpur,2020,Rabi,Mustard,111.54,42.82,46.73,27.87,88.02,6.21,1600.05,1359.56,5038.53
Odisha,Rayagada,2020,Kharif,Groundnut,20.75,49.73,37.04,33.61,78.49,6.34,1313.97,2224.5,5718.69
Rajasthan,Sikar,2021,Kharif,MothBeans,1.0,44.26,80.08,26.59,41.87,7.8,456.31,663.0,3701.7
Daman & Diu,Daman,2021,Rabi,Wheat,58.23,45.33,41.62,22.84,76.31,5.85,1699.53,4633.7,2094.92
Rajasthan,Chittorgarh,2021,Kharif,Cotton,120.61,42.62,68.82,29.23,19.56,7.66,337.77,301.2,6370.05
Arunachal Pradesh,Lohit,2019,Rabi,Potato,109.0,47.9,65.16,14.3099,82.7343,4.8225,2537.29,22540.0,1072.34
Odisha,Bhubaneswar,2019,Kharif,Maize,72.12,60.69,56.53,30.8978,87.6125,5.2173,989.16,2873.4,1745.93
Andhra Pradesh,Chittoor,2020,Annual,Mango,2.15,24.19,35.08,23.1408,73.5234,5.6865,976.6,5234.6,2828.92
Telangana,Nalgonda,2020,Kharif,Maize,50.89,60.94,44.32,29.72,55.28,6.08,1007.58,3393.83,1984.92
Tripura,North Tripura,2019,Kharif,Rice,95.92,54.85,26.34,23.0573,92.7779,5.0856,1633.47,4312.8,1988.85
Haryana,Bhiwani,2023,Annual,Sugarcane,111.56,75.8,78.66,23.49,55.55,8.06,630.72,71461.85,404.24
Madhya Pradesh,Hoshangabad,2021,Rabi,Mustard,57.68,41.15,46.52,26.6081,52.0225,6.4537,748.01,1391.9,4778.93
Gujarat,Junagadh,2023,Rabi,Potato,115.36,51.36,73.41,26.6,70.28,7.93,871.91,18345.1,1036.74
Odisha,Bhubaneswar,2022,Annual,Coconut,33.59,12.06,27.46,27.43,88.33,6.37,1459.12,6504.6,1470.98
Haryana,Hisar,2022,Zaid,MungBean,19.51,60.08,21.67,29.29,59.34,6.61,499.0,921.6,8190.74
Himachal Pradesh,Kangra,2020,Rabi,Apple,28.35,112.67,229.97,29.8066,68.5952,5.2714,1070.7,14162.4,5255.37
Bihar,Nalanda,2021,Annual,Mango,26.66,41.4,20.36,26.81,85.57,6.35,1166.85,9294.8,3219.43
Jammu & Kashmir,Kupwara,2023,Kharif,Soybean,46.81,44.31,51.74,6.76,58.69,6.18,1003.71,1647.3,4260.43
Rajasthan,Kota,2020,Kharif,Cotton,133.8,33.09,29.38,30.18,58.03,8.24,241.52,1784.71,5374.88
Karnataka,Mangaluru,2022,Annual,Sugarcane,114.59,68.33,66.26,23.08,66.65,7.29,1182.35,68781.45,304.18
West Bengal,Darjeeling,2022,Rabi,Potato,105.2,50.9,112.52,24.43,56.42,6.35,1936.72,24754.2,738.23
Uttarakhand,Nainital,2020,Kharif,Ginger,85.84,65.03,65.17,22.49,59.27,7.07,914.18,4336.5,5109.39
Odisha,Sambalpur,2020,Annual,Sugarcane,69.28,42.43,88.48,29.19,72.62,6.11,1394.01,71647.1,283.92
Gujarat,Gandhinagar,2022,Rabi,Mustard,61.51,29.09,48.58,27.5388,77.6784,7.2398,487.14,1560.3,5845.6
Rajasthan,Kota,2022,Kharif,Cotton,128.74,32.28,36.91,25.61,59.59,7.56,431.22,585.5,6723.55
Dadra & Nagar Haveli,Dadra and Nagar Haveli,2020,Kharif,Maize,82.66,72.95,47.06,28.75,91.77,5.29,1935.39,3020.71,1578.1
Telangana,Khammam,2020,Kharif,Cotton,75.23,73.34,28.62,30.92,57.92,6.9,1066.05,189.71,7055.15
Arunachal Pradesh,Papum Pare,2021,Rabi,Apple,17.25,163.97,200.69,19.89,93.56,5.35,2773.42,13544.4,4676.67
Rajasthan,Chittorgarh,2022,Rabi,Wheat,87.2,57.7,37.1,19.8626,25.3893,8.1918,511.97,4124.6,2035.06
Bihar,Patna,2023,Annual,Sugarcane,78.15,89.69,69.72,33.27,61.34,6.73,1142.12,64158.5,295.02
Gujarat,Jamnagar,2023,Rabi,Potato,89.65,45.93,147.93,24.3264,69.7798,7.0782,720.91,18319.0,902.85
Bihar,Purnia,2021,Rabi,Onion,63.97,34.48,68.69,29.83,86.79,6.1,862.99,17860.2,2229.66
Gujarat,Junagadh,2019,Rabi,Potato,149.99,73.09,67.37,20.59,86.45,7.86,644.57,20202.7,999.13
Rajasthan,Sikar,2023,Kharif,Groundnut,22.89,73.63,53.46,35.21,60.42,7.64,200.42,1535.9,6457.44
Rajasthan,Jaipur,2022,Kharif,Soybean,22.6,46.16,22.58,31.0035,46.1911,6.7787,523.7,1895.3,3788.61
Maharashtra,Jalgaon,2020,Rabi,Tomato,78.94,81.06,83.94,25.64,72.22,6.39,833.11,18461.8,2314.55
Odisha,Bhadrak,2022,Kharif,Maize,79.66,56.97,65.72,24.59,68.58,6.07,1509.44,3750.1,1850.65
Andhra Pradesh,Kurnool,2022,Kharif,Rice,53.0,27.18,58.57,25.19,88.73,5.78,973.3,3204.2,1731.28
